epoch,train_loss,train_accuracy,train_f1,eval_loss,eval_accuracy,eval_f1
1.0,0.1260651797056198,0.9560918871765048,0.9561403286720578,0.17594751715660095,0.9403100775193799,0.9405183334897332
2.0,0.086570143699646,0.9715033439953474,0.9715062482741608,0.17222578823566437,0.9484496124031008,0.9484817260230839
3.0,0.03532647341489792,0.9901134050596103,0.9901092111027056,0.207514226436615,0.9465116279069767,0.9466175774702835
4.0,0.028250936418771744,0.9917611708830086,0.9917561523381149,0.2662747800350189,0.9434108527131783,0.94308342951729
5.0,0.020419273525476456,0.9946689929242997,0.9946676945847238,0.2725379168987274,0.9484496124031008,0.948725754100832
6.0,0.01587451808154583,0.995541339536687,0.9955409708704165,0.2863938510417938,0.9468992248062016,0.9470105874951623
7.0,0.013457676395773888,0.9956382669380633,0.995635926058091,0.3049023449420929,0.9523255813953488,0.9522770674683283
8.0,0.011955196969211102,0.9959290491421925,0.9959271512058294,0.3166746199131012,0.9511627906976744,0.9511733554445521
9.0,0.011081364937126637,0.9959290491421925,0.9959277125248741,0.3375174105167389,0.9465116279069767,0.946560255427989
10.0,0.010675826109945774,0.9960259765435688,0.9960244510870335,0.34568968415260315,0.9468992248062016,0.9469225043111246
