epoch,train_loss,train_accuracy,train_f1,eval_loss,eval_accuracy,eval_f1
1.0,0.13922061026096344,0.9597751284288069,0.9596981306457641,0.1945144534111023,0.9434108527131783,0.9433725487889135
2.0,0.07240606099367142,0.9780944072889406,0.9780917800861633,0.18030384182929993,0.9534883720930233,0.9535257738853562
3.0,0.052599258720874786,0.9853639623921683,0.985356806093194,0.22526489198207855,0.9434108527131783,0.9435531221208029
4.0,0.03907828778028488,0.991082679073374,0.9910668519326441,0.2991856634616852,0.9484496124031008,0.9481420745637635
5.0,0.024384144693613052,0.9939905011146651,0.9939835827848635,0.30009305477142334,0.9515503875968992,0.9514339419147578
6.0,0.020107898861169815,0.9953474847339343,0.9953469211730427,0.31450217962265015,0.951937984496124,0.9519702613715412
7.0,0.018147839233279228,0.9956382669380633,0.9956380749614099,0.3475743532180786,0.9511627906976744,0.9511234733239471
8.0,0.015501176938414574,0.9959290491421925,0.9959270072965183,0.3549671769142151,0.9523255813953488,0.9522613229637908
9.0,0.014032816514372826,0.9960259765435688,0.9960237284914489,0.35277143120765686,0.9534883720930233,0.9535085643380321
10.0,0.013140312395989895,0.9961229039449452,0.9961210525276332,0.3602215051651001,0.9523255813953488,0.9522613229637908
